Ticker,Fitur,Fold,Best_Epoch,Val_Loss,Val_MAE,Val_MAPE,Val_RMSE,Val_R2,,
ADRO,Open_LAG,1,93,14864.97363,103.2318726,0.167748554,122.516218,-0.592161929,,
ADRO,Open_LAG,2,83,3251.871094,42.18774033,0.118725703,61.30230021,0.015201168,,
ADRO,Open_LAG,3,97,7760.27002,53.51742554,0.092015694,93.19529347,0.544019638,,0.696017311
ADRO,Open_LAG,4,100,281721.125,494.4924927,0.319651511,530.7196597,-5.999551053,,
ADRO,Open_LAG,5,97,121148.5547,263.4714355,0.12440876,356.004005,0.248674772,,
ADRO,High_LAG,1,99,13965.375,99.11289978,0.160772933,118.6218229,-0.49271737,,
ADRO,High_LAG,2,60,2925.898193,39.55576324,0.109168748,57.34546859,0.135993654,,
ADRO,High_LAG,3,81,7592.140137,54.39312744,0.081418402,84.35269449,0.62553246,,
ADRO,High_LAG,4,100,375370.4063,577.4344482,0.375082233,612.6467317,-8.32482498,,
ADRO,High_LAG,5,99,113234.4219,255.5596619,0.132476581,356.6047304,0.245353425,,
ADRO,Low_LAG,1,100,14428.21777,100.7467422,0.162008313,120.0781183,-0.529052825,,
ADRO,Low_LAG,2,86,3095.463867,40.94990158,0.116946729,61.31943865,0.0159907,,
ADRO,Low_LAG,3,93,7732.484375,55.21003342,0.084914659,89.84841061,0.575666664,,
ADRO,Low_LAG,4,100,409516.5938,608.0880737,0.396465063,639.9266264,-9.170723036,,
ADRO,Low_LAG,5,100,118887.1016,256.9848022,0.115557587,344.7548241,0.295719435,,
ADRO,Volume_LAG,1,97,14597.01074,102.1557083,0.166228273,122.0112524,-0.579414865,,
ADRO,Volume_LAG,2,24,3909.034668,48.29135513,0.188380243,88.53891083,-0.993650419,,
ADRO,Volume_LAG,3,94,7789.020996,56.0197258,0.084154607,89.22027207,0.582541674,,
ADRO,Volume_LAG,4,100,396955.2188,598.085022,0.389763341,630.0078376,-8.861394195,,
ADRO,Volume_LAG,5,95,138336.4219,281.3292847,0.136314968,381.8954517,0.135466127,,
ADRO,Close_LAG,1,67,15725.74902,106.758316,0.185463321,135.1513901,-0.939065168,,
ADRO,Close_LAG,2,94,3404.115479,43.24816895,0.13840583,68.43223541,-0.208584622,,
ADRO,Close_LAG,3,97,7467.914551,55.29202271,0.082096256,85.41381579,0.617067655,,
ADRO,Close_LAG,4,100,329144.4375,539.8267822,0.350415719,573.6704555,-7.177151743,,
ADRO,Close_LAG,5,100,106724.1641,246.0936432,0.11118226,326.6261505,0.36767515,,
ADRO,Open_High_LAG,1,100,14000.45996,98.98175049,0.158663155,118.2763707,-0.48397653,,
ADRO,Open_High_LAG,2,99,3047.750732,40.40060806,0.115625496,60.03263832,0.062331992,,
ADRO,Open_High_LAG,3,91,7561.001953,52.95862579,0.08835677,92.05166749,0.554506861,,
ADRO,Open_High_LAG,4,99,340855.4688,547.7341309,0.356364627,585.4981674,-7.517829046,,
ADRO,Open_High_LAG,5,100,121895.25,264.1517944,0.118773929,348.9285991,0.277194022,,
