Ticker,Fitur,Fold,Dense_Units,Hidden_Units,Dropout,LR,Batch_Size,Optimizer,Best_Epoch,Val_Loss,Val_MAE,Val_MAPE,Val_RMSE,Val_R2
ADMR,Open_LAG,1,224,160,0.25888999320577066,0.004365664660858491,32,RMSprop,1,0.3888608515262604,0.32297822255697484,3.502888259485067,0.38886085115846414,-0.38512260802287623
ADMR,Open_LAG,2,192,32,0.30681902073117967,0.00437557236953708,16,RMSprop,15,0.504688024520874,0.435495113085838,0.45956115977834394,0.5046880389655207,-0.7385654354862197
ADMR,Open_LAG,3,128,192,0.14482870970301223,0.0014221575768575076,32,SGD,87,0.171391099691391,0.1473525087721467,2.5226214695226763,0.1713911069726581,-0.19352073545101778
ADMR,Open_LAG,4,160,96,0.1601902659523615,0.0003285180860084193,16,Adam,22,0.07064744830131531,0.05273457335347614,0.1557883979833137,0.07064745393643107,0.19666318700714602
ADMR,Open_LAG,5,128,192,0.13155295681672086,0.0022354784600102876,16,RMSprop,7,0.19934120774269104,0.16258096909961162,0.16726699992725916,0.19934120373528125,0.535852737382507
ADMR,High_LAG,1,128,64,0.25469387125926823,0.00022503236377289585,32,Adam,61,0.5923483967781067,0.507037017650056,1.3195618440723964,0.5923483733247454,-2.214061431467864
ADMR,High_LAG,2,128,256,0.2848069038011603,0.0028482726425766297,64,Adam,4,0.5507269501686096,0.4709200571326927,0.47499077220390357,0.5507269303769292,-1.0702254565984228
ADMR,High_LAG,3,128,128,0.12423669946142755,0.0009802802484828697,64,AdamW,2,0.1772695630788803,0.14747374618562176,1.9122928799607926,0.1772695582424327,-0.27679662448292564
ADMR,High_LAG,4,256,128,0.3526498224004675,0.000398676287805591,64,Adam,57,0.06903653591871262,0.0514032881060345,0.15223342136012405,0.06903653332399591,0.23288126512433238
ADMR,High_LAG,5,160,128,0.2448421088180462,0.004729353667233168,64,Adam,65,0.25057804584503174,0.19173435899187224,0.19711546818731915,0.2505780304020434,0.26658865599102566
ADMR,Low_LAG,1,192,96,0.2219646695555135,0.004198504545694195,64,AdamW,47,0.5972488522529602,0.5130748180585284,1.0531720577187869,0.5972488624598403,-2.267461172396184
ADMR,Low_LAG,2,160,160,0.26453034303502093,0.0008508260930974035,32,RMSprop,2,0.5087751746177673,0.4348334281297119,0.45937957501664206,0.5087751369500018,-0.766838184627475
ADMR,Low_LAG,3,128,32,0.34205352814494705,0.004675603282832127,64,RMSprop,1,0.1641501933336258,0.1411809269232879,2.5861320723885415,0.16415018850996377,-0.09480348853283482
ADMR,Low_LAG,4,192,64,0.42415240155533096,0.0006968377081490968,16,Adam,22,0.0705622062087059,0.05277540511865832,0.15556373320750425,0.07056221111031685,0.19860062093966102
ADMR,Low_LAG,5,128,96,0.11083904170604864,0.0013883661867963545,16,RMSprop,59,0.2501716911792755,0.18716168633057703,0.19484413615666632,0.25017166915463984,0.26896546684894795
