Ticker,Fitur,Best_Epoch,Val_Loss,Val_MAE,Val_MAPE,Val_RMSE,Val_R2,Split_Mode
BBRI,Open,16,5367240.5,2282.333984375,0.48826537966337646,2316.686812026873,-33.082274589932496,date
BBRI,High,17,5388796.0,2287.056884765625,0.4892912164618391,2321.3389945793283,-33.21789073519963,date
BBRI,Low,19,5377319.0,2284.538818359375,0.4887439660070335,2318.859236434731,-33.146672751038366,date
BBRI,Volume,17,5360015.0,2280.745361328125,0.4879202130575518,2315.1224938202604,-33.03729488218832,date
BBRI,Open_High,18,5367461.5,2282.381591796875,0.48827561892144106,2316.7336349106095,-33.08387168256588,date
BBRI,Open_Low,15,5393385.5,2288.055908203125,0.48950808890729286,2322.3238770159787,-33.247457482734404,date
BBRI,Open_Volume,20,5387824.5,2286.838623046875,0.489243329525743,2321.124700927165,-33.21311649719046,date
BBRI,High_Low,20,5383129.0,2285.8095703125,0.48901978204994095,2320.1111620612687,-33.18373417277848,date
BBRI,High_Volume,17,5381010.0,2285.353759765625,0.4889213544100686,2319.6611537626986,-33.168643031539276,date
BBRI,Low_Volume,25,5362046.5,2281.194580078125,0.4880178833371192,2315.5645234348617,-33.04961434010991,date
BBRI,Open_High_Low,15,5366494.0,2282.167724609375,0.48822922631299814,2316.523042282682,-33.07763814484783,date
BBRI,Open_High_Volume,19,5370675.0,2283.0830078125,0.48842784450932686,2317.425160882272,-33.10467487678847,date
BBRI,High_Low_Volume,20,5389857.0,2287.279052734375,0.48933879675427044,2321.5592945110343,-33.22673516495493,date
BBRI,Open_High_Low_Volume,17,5359987.5,2280.7392578125,0.4879188590129562,2315.1165028964297,-33.037251490624605,date
BBRI,OHLV_MA5,15,5393448.0,2288.072509765625,0.4895117039731349,2322.3394493881615,-33.24741787966661,date
BBRI,OHLV_MA10,22,5379337.5,2284.9814453125,0.4888401511107439,2319.2952446839986,-33.159339444286715,date
BBRI,OHLV_MA20,18,5394383.0,2288.2724609375,0.4895547445525198,2322.537442176715,-33.25464912306987,date
BBRI,OHLV_MA30,15,5374484.0,2283.913818359375,0.48860829300668734,2318.2436974980637,-33.128630947361586,date
BBRI,OHLV_MA50,19,5364078.0,2281.636962890625,0.4881138002204692,2316.0006139090688,-33.06304342868691,date
BBRI,OHLV_EMA5,20,5382378.5,2285.6455078125,0.4889841689687856,2319.9493425686505,-33.17900244268438,date
BBRI,OHLV_EMA12,16,5370967.5,2283.148193359375,0.488442150176845,2317.4892571375694,-33.10619078222799,date
BBRI,OHLV_EMA26,18,5367290.5,2282.343994140625,0.4882675396085153,2316.696957876043,-33.08279478008111,date
BBRI,OHLV_EMA30,13,5384813.0,2286.177490234375,0.48909994264894974,2320.4731352264384,-33.19348468641835,date
BBRI,OHLV_EMA50,20,5376910.5,2284.451416015625,0.48872507518947744,2318.7727102225977,-33.14376771823682,date
BBRI,OHLV_RSI7,22,5349408.0,2278.42333984375,0.4874162306557416,2312.834240316739,-32.96928359842182,date
BBRI,OHLV_RSI14,19,5372479.5,2283.47998046875,0.48851409225831915,2317.8159114890495,-33.11590752339597,date
BBRI,OHLV_RSI21,16,5375733.5,2284.19873046875,0.4886705294615287,2318.5228162728695,-33.13508628828472,date
BBRI,OHLV_MACD_12_26,18,5356677.5,2280.01904296875,0.4877627765994003,2314.40611814406,-33.015194252340194,date
BBRI,OHLV_MACD_5_20,17,5370705.5,2283.09033203125,0.4884295018107709,2317.432311749655,-33.104678117487936,date
BBRI,OHLV_MACD_10_30,15,5386797.0,2286.609619140625,0.4891936919864378,2320.8995174440306,-33.20670323497762,date
