Ticker,Fitur,Best_Epoch,Val_Loss,Val_MAE,Val_MAPE,Val_RMSE,Val_R2,Split_Mode
UNTR,Open,44,72235312.0,8202.8681640625,0.34891416840442235,8498.843293348904,-13.634463758069574,date
UNVR,Open,8,476291.5625,594.2686157226562,0.20840426354799665,689.9368479802417,-0.06114774023517149,date
UNTR,High,45,72157064.0,8198.0927734375,0.34870568242393357,8494.23290803194,-13.618464001064398,date
UNVR,High,9,463128.9375,584.1693725585938,0.22093852079904217,680.3697683414113,-0.030966696843616068,date
UNTR,Low,39,72088680.0,8193.92578125,0.34852400644620646,8490.212778982932,-13.604746416046753,date
UNVR,Low,9,467274.28125,585.6171264648438,0.22118307043438107,683.2458490837565,-0.040073188980755826,date
UNTR,Volume,35,72240936.0,8203.2265625,0.3489304785115905,8499.19591067604,-13.636340910075727,date
UNVR,Volume,8,457636.75,583.4756469726562,0.21693432987669514,676.3836221798573,-0.018742508805013693,date
UNTR,Open_High,36,72293552.0,8206.40625,0.34906842333936683,8502.257214121986,-13.646051330452213,date
UNVR,Open_High,8,487449.25,598.5902099609375,0.20770177393008746,697.7306533702838,-0.08551653436293967,date
UNTR,Open_Low,44,71970576.0,8186.7177734375,0.3482094842247126,8483.255750037122,-13.580825711753882,date
UNVR,Open_Low,8,516611.4375,612.0187377929688,0.20762551046694433,717.9912995426457,-0.15138165849089139,date
UNTR,Open_Volume,42,72134304.0,8196.7177734375,0.34864599580841865,8492.908750195682,-13.6142208234593,date
UNVR,Open_Volume,8,478717.5625,595.3553466796875,0.2083185272744866,691.6798880609823,-0.06625255843737196,date
UNTR,High_Low,40,72008032.0,8188.9921875,0.3483085568310877,8485.449769450897,-13.588150218647478,date
UNVR,High_Low,8,465908.46875,585.012451171875,0.2227714442639452,682.3943174897233,-0.037139761511200735,date
UNTR,High_Volume,38,72236136.0,8202.8798828125,0.34891394393328284,8498.847981194383,-13.633729764797307,date
UNVR,High_Volume,8,457078.53125,583.8558349609375,0.2145013285794619,676.0207802241816,-0.017578135017727262,date
UNTR,Low_Volume,50,72245648.0,8203.5048828125,0.34894210376125157,8499.459640063213,-13.636729667100514,date
UNVR,Low_Volume,8,517810.09375,612.4949340820312,0.20695738911040615,719.0777229228192,-0.1534350174563875,date
UNTR,Open_High_Low,38,72116992.0,8195.6474609375,0.3485990240420604,8491.87395730584,-13.610440111052538,date
UNVR,Open_High_Low,9,525752.1875,601.2266845703125,0.23909876050865445,724.1219487229984,-0.16986187576229356,date
UNTR,Open_High_Volume,34,72569224.0,8223.15234375,0.3497987129825951,8518.420862436984,-13.701599180379645,date
UNVR,Open_High_Volume,9,499806.5,594.366943359375,0.23276918173599126,706.0523149301041,-0.11187598668414739,date
UNTR,High_Low_Volume,47,72202048.0,8200.8447265625,0.34882596468450194,8496.891097415973,-13.627812869202035,date
UNVR,High_Low_Volume,8,459544.53125,584.9584350585938,0.21478258298362898,677.8427407920326,-0.023361276114869167,date
UNTR,Open_High_Low_Volume,38,72041848.0,8191.03369140625,0.3483974674205431,8487.419783856212,-13.594825725692461,date
UNVR,Open_High_Low_Volume,9,534752.0625,604.447021484375,0.24125457372114478,730.2201119240508,-0.1903469305904008,date
UNTR,OHLV_MA5,42,71971648.0,8186.775390625,0.34821193931490113,8483.311741302277,-13.580881713458568,date
UNVR,OHLV_MA5,8,461886.71875,584.3712158203125,0.2219206385982333,679.5133659625001,-0.02807891803061955,date
UNTR,OHLV_MA10,39,72208936.0,8201.2568359375,0.34884381478353954,8497.288202072405,-13.629079763066404,date
UNVR,OHLV_MA10,8,481350.40625,596.1338500976562,0.20779353665704428,693.4337164395125,-0.07198703452988552,date
UNTR,OHLV_MA20,42,72283608.0,8205.806640625,0.34904235377959475,8501.67992771318,-13.64414763899702,date
UNVR,OHLV_MA20,8,504809.1875,606.2259521484375,0.20733266879662302,709.8332677736299,-0.12404088219994079,date
UNTR,OHLV_MA30,36,72348240.0,8209.7470703125,0.3492144251826251,8505.484264700552,-13.657371634004939,date
UNVR,OHLV_MA30,8,531146.375,618.099853515625,0.207296797141195,727.8948749445487,-0.18367405961432065,date
UNTR,OHLV_MA50,39,72147968.0,8197.5302734375,0.3486810960830367,8493.690098575082,-13.616531957928231,date
UNVR,OHLV_MA50,9,490499.25,591.6958618164062,0.23094011992251628,699.9621828298963,-0.09133287332175444,date
UNTR,OHLV_EMA5,39,72250056.0,8203.7666015625,0.3489534117744937,8499.711412121162,-13.637473298872276,date
UNVR,OHLV_EMA5,9,522428.5625,599.1903686523438,0.23853699489880675,722.2511189900066,-0.16284680309857408,date
UNTR,OHLV_EMA12,37,72243152.0,8203.2919921875,0.3489318865401469,8499.249381646032,-13.635289431009996,date
UNVR,OHLV_EMA12,9,479829.34375,589.1785278320312,0.2276772112342935,692.2865578392573,-0.0676255081045306,date
UNTR,OHLV_EMA26,41,72316544.0,8207.7978515625,0.3491288942525157,8503.598352517223,-13.650433341450945,date
UNVR,OHLV_EMA26,8,467385.28125,589.8131103515625,0.20896942134024166,683.5819282830521,-0.04084227610907756,date
UNTR,OHLV_EMA30,37,72179600.0,8199.4443359375,0.3487642417313509,8495.533844937327,-13.622523017378207,date
UNVR,OHLV_EMA30,8,515328.125,610.8919067382812,0.20712901436113407,717.2442172835306,-0.1477615275720795,date
UNTR,OHLV_EMA50,43,72027080.0,8190.16259765625,0.34835974139663944,8486.580277042694,-13.59215685888463,date
UNVR,OHLV_EMA50,9,498392.09375,594.7230834960938,0.23223224026409692,704.8191689069376,-0.10842202299611457,date
