Ticker,Fitur,Best_Epoch,Val_Loss,Val_MAE,Val_MAPE,Val_RMSE,Val_R2,Split_Mode
BRIS,Open,14,795552.9375,801.1668090820312,0.3973665987839002,891.8786652596336,-4.179857424636195,ratio
BRIS,High,16,788379.0625,796.6566162109375,0.3949034762697021,887.8294584206466,-4.132718372362764,ratio
BRIS,Low,16,783352.1875,793.5032348632812,0.3931951775581554,885.001208951728,-4.100153432146163,ratio
BRIS,Volume,21,778153.375,790.2191772460938,0.3914033629612934,882.0558388453666,-4.06601439223067,ratio
BRIS,Open_High,15,789801.6875,797.5140380859375,0.3953659708857495,888.6015943559631,-4.141616560845126,ratio
BRIS,Open_Low,16,795572.3125,801.1476440429688,0.3973444043284238,891.8625012990213,-4.179488726947195,ratio
BRIS,Open_Volume,19,782481.375,792.9778442382812,0.39291020394713017,884.5258241617101,-4.094471116597086,ratio
BRIS,High_Low,17,782656.4375,793.06103515625,0.39294943836442237,884.6029332369286,-4.095374491183008,ratio
BRIS,High_Volume,20,778306.0,790.3416748046875,0.3914781430046547,882.1633972703747,-4.067317472690281,ratio
BRIS,Low_Volume,18,785661.875,794.9639282226562,0.3939857907456212,886.3084518799908,-4.11503117702763,ratio
BRIS,Open_High_Low,17,789135.625,797.12744140625,0.39515805812635496,888.2513049432594,-4.137524035872836,ratio
BRIS,Open_High_Volume,17,797398.8125,802.3167114257812,0.3979902893224904,892.911070230039,-4.19179273596038,ratio
BRIS,High_Low_Volume,23,788350.75,796.659423828125,0.3949078485062211,887.8283972235054,-4.132570565752674,ratio
BRIS,Open_High_Low_Volume,18,787875.9375,796.3423461914062,0.3947311057168567,887.5458190478407,-4.129329752171118,ratio
BRIS,OHLV_MA5,15,782388.625,792.86767578125,0.3928428500207863,884.4334580500152,-4.093636045155631,ratio
BRIS,OHLV_MA10,18,784611.125,794.3167724609375,0.3936373023702979,885.7257685902777,-4.108347836833431,ratio
BRIS,OHLV_MA20,18,789744.0625,797.5103759765625,0.39536674401315525,888.5942541100642,-4.141471960327245,ratio
BRIS,OHLV_MA30,15,788629.625,796.7756958007812,0.3949636221324233,887.9402772122386,-4.1340944389719345,ratio
BRIS,OHLV_MA50,19,777286.5625,789.6661376953125,0.39110252943026524,881.560183163236,-4.060374335591608,ratio
BRIS,OHLV_EMA5,17,780486.5625,791.7162475585938,0.39222465124527034,883.3946037218964,-4.081506776010274,ratio
BRIS,OHLV_EMA12,20,794475.8125,800.5064086914062,0.397002095821446,891.2787032987682,-4.172573925882778,ratio
BRIS,OHLV_EMA26,20,792555.75,799.3027954101562,0.39634701867633754,890.1985517327169,-4.1600269050550835,ratio
BRIS,OHLV_EMA30,15,800613.4375,804.3175048828125,0.3990792012596822,894.7090147208269,-4.212775153189506,ratio
BRIS,OHLV_EMA50,14,785853.875,795.0668334960938,0.3940462934624115,886.4053256648486,-4.116557569308717,ratio
BRIS,OHLV_RSI7,25,794772.1875,800.6792602539062,0.39709253006383116,891.435823394997,-4.17435995253389,ratio
BRIS,OHLV_RSI14,22,789707.1875,797.501220703125,0.39536263407489886,888.5835021653592,-4.141288438111248,ratio
BRIS,OHLV_RSI21,19,783147.875,793.3703002929688,0.39311595398586957,884.8793357764185,-4.0985452276992556,ratio
BRIS,OHLV_MACD_12_26,17,789273.1875,797.2243041992188,0.39521699141514,888.3380891332752,-4.138665220152038,ratio
BRIS,OHLV_MACD_5_20,16,789718.0625,797.4435424804688,0.39532623784756604,888.5424587959023,-4.1411982434809005,ratio
BRIS,OHLV_MACD_10_30,14,795991.3125,801.3311767578125,0.3974462289243037,892.040452153242,-4.182195660172951,ratio
