Ticker,Fitur,Fold,Best_Epoch,Val_Loss,Val_MAE,Val_MAPE,Val_RMSE,Val_R2
ADRO,Open,1,83,1392.6746826171875,27.277587890625,0.07258364281605256,39.95558548199926,0.5566651509626263
ADRO,Open,2,96,10266.3681640625,63.38328170776367,0.08733416057307064,100.0175542299649,0.5289816191639637
ADRO,Open,3,100,395417.71875,604.0172119140625,0.36852201609071034,628.8012610551176,-11.145052560782455
ADRO,Open,4,65,7894.06103515625,66.41304779052734,0.07446114707532164,116.19572965862716,-0.23283893434450134
ADRO,Open,5,95,125433.796875,319.34271240234375,0.15747061600121193,391.7157190900589,-1.6206213023020661
ADRO,High,1,86,1395.2135009765625,27.892333984375,0.06214261358817255,36.87463369996263,0.6092780575803967
ADRO,High,2,93,8718.59375,60.99594497680664,0.08301733502031718,94.31454160606245,0.5791244769963828
ADRO,High,3,100,354036.9375,568.7830810546875,0.3462743428248693,594.9920375651977,-9.873737801480951
ADRO,High,4,93,7945.134765625,65.57677459716797,0.06944867597993243,113.14021584453006,-0.19059949100656534
ADRO,High,5,99,153676.328125,352.5338134765625,0.16081231395127185,406.5687692139636,-1.8302867142030366
ADRO,Low,1,89,1337.476806640625,27.813095092773438,0.06558749714034877,37.2209265025223,0.6121739104532532
ADRO,Low,2,97,10615.4296875,64.03606414794922,0.0949863075934382,108.36151559705309,0.45382180201134337
ADRO,Low,3,100,396529.8125,604.9285278320312,0.36909802352283183,629.6713302691539,-11.180453909571398
ADRO,Low,4,56,7757.9775390625,64.64556884765625,0.096570132408515,146.90206888727775,-0.9698130244566208
ADRO,Low,5,100,171797.9375,379.21905517578125,0.1634347322014697,414.3883645941285,-1.928304732327811
ADRO,Volume,1,89,3713.617431640625,45.234230041503906,0.0975897445581317,60.97986614302695,-0.011307941361588449
ADRO,Volume,2,86,57864.3671875,189.50155639648438,0.27196667921095075,243.59405478579035,-1.771772713785741
ADRO,Volume,3,45,1312087.75,1131.1483154296875,0.7036628027388372,1149.4845321939583,-39.56891358078581
ADRO,Volume,4,67,529168.6875,718.2258911132812,0.5671638453292319,791.957965701041,-55.67743135733683
ADRO,Volume,5,100,2235369.25,1484.974365234375,0.6649083363022503,1495.0600602545646,-36.964822787743216
ADRO,Open_High,1,75,1332.62890625,27.25617790222168,0.06226076367552233,36.27744793081344,0.6279038780655711
ADRO,Open_High,2,91,9444.3720703125,61.279380798339844,0.08770495776480539,98.91718318649988,0.5353625918706495
ADRO,Open_High,3,99,355832.375,570.3009643554688,0.3478203700522353,597.1182693328386,-9.95521205924932
ADRO,Open_High,4,83,7010.5498046875,61.93186950683594,0.07794391971456327,122.03887452261569,-0.36445081221881187
ADRO,Open_High,5,98,164394.765625,365.98883056640625,0.16669552781812527,417.16757141447175,-1.9884457183555369
ADRO,Open_Low,1,97,1333.3946533203125,26.913822174072266,0.05985850520843723,36.55408427994949,0.6172172689872083
ADRO,Open_Low,2,93,9764.35546875,61.52944564819336,0.08236898492718918,94.32592246048253,0.5768495935627793
ADRO,Open_Low,3,99,348775.71875,564.0579833984375,0.3439134767272545,591.3606708654702,-9.746473487922513
ADRO,Open_Low,4,39,6952.36572265625,62.05483627319336,0.058066431862200174,96.99435644637533,0.12427225880092188
ADRO,Open_Low,5,100,166889.5625,366.5886535644531,0.15690928932412723,408.2444797887007,-1.8575919251012898
ADRO,Open_Volume,1,63,1250.9405517578125,25.80783462524414,0.06981962655648942,38.536733885705466,0.5874402966873066
ADRO,Open_Volume,2,100,8675.521484375,61.2288932800293,0.08364172957671935,88.83521788590706,0.6279896618587887
ADRO,Open_Volume,3,100,412324.6875,617.29443359375,0.3767602232392223,642.1083769310985,-11.66370345774464
ADRO,Open_Volume,4,45,9676.3525390625,72.19519805908203,0.08899133786981206,136.73476341679736,-0.7046346096470967
ADRO,Open_Volume,5,47,88941.8671875,261.4310302734375,0.16463155773089722,409.15342052444333,-1.860156576721697
