Ticker,Fitur,Fold,Best_Epoch,Val_Loss,Val_MAE,Val_MAPE,Val_RMSE,Val_R2
ADMR,Open,1,45,16511.21484375,111.33438110351562,0.25269239150909684,325.15709894353694,
ADMR,Open,2,41,10393.1875,88.46929168701172,0.1025179503256044,137.41704212535512,
ADMR,Open,3,28,2876.939697265625,41.79011535644531,0.09916826287695152,132.59527587890625,
ADMR,Open,4,32,1009.9468383789062,27.235567092895508,0.0187909491837131,27.694136186079547,
ADMR,Open,5,15,5747.8828125,61.86225891113281,0.6917222814803125,586.3006869229404,
ADMR,High,1,41,15243.3427734375,107.34558868408203,0.2553455887180467,328.6457408558239,
ADMR,High,2,42,9108.333984375,77.18023681640625,0.09942351480942223,133.15861927379262,
ADMR,High,3,29,2395.75244140625,36.702335357666016,0.09598776269514021,128.30714000355113,
ADMR,High,4,84,1080.830322265625,27.6707706451416,0.018951029249342888,27.949629350142047,
ADMR,High,5,15,5815.11767578125,61.09030532836914,0.6917854540934584,586.3619717684659,
ADMR,Low,1,43,19108.15234375,123.39466094970703,0.25271890672421554,325.1070390181108,
ADMR,Low,2,39,8163.15625,73.62335205078125,0.10199662868319291,136.70547207919034,
ADMR,Low,3,30,2307.86572265625,34.152957916259766,0.092417579177809,123.48377019708806,
ADMR,Low,4,30,904.1197509765625,23.412792205810547,0.018853652915670455,27.78701504794034,
ADMR,Low,5,15,5711.966796875,55.23617935180664,0.6972339990942147,591.0041004527699,
ADMR,Volume,1,42,18592.01953125,113.97205352783203,0.2524738019373594,324.90121182528407,
ADMR,Volume,2,39,9992.9375,84.72435760498047,0.10208441944934578,136.8187255859375,
ADMR,Volume,3,27,3967.88427734375,49.970829010009766,0.0961237878375511,128.4853515625,
ADMR,Volume,4,90,1083.94189453125,27.964317321777344,0.018831770780199264,27.776084206321023,
ADMR,Volume,5,15,6077.0830078125,64.8554916381836,0.6924050571764474,586.8730357776989,
ADMR,Open_High,1,42,16175.69140625,113.11274719238281,0.251260558211962,323.2477361505682,
ADMR,Open_High,2,36,7659.35498046875,76.85220336914062,0.10162712541586835,136.20013427734375,
ADMR,Open_High,3,32,3377.767333984375,45.33755111694336,0.0938497867883718,125.41852361505681,
ADMR,Open_High,4,49,1063.0772705078125,27.312904357910156,0.018676427911072317,27.57989501953125,
ADMR,Open_High,5,17,3048.97412109375,47.0888557434082,0.696090979147859,590.0445057262074,
ADMR,Open_Low,1,41,17991.53125,114.9836196899414,0.2555413566365186,328.96231356534093,
ADMR,Open_Low,2,37,10975.7587890625,87.22277069091797,0.09907657440411169,132.6852361505682,
ADMR,Open_Low,3,28,2035.8387451171875,34.56254959106445,0.0938478499451155,125.40591153231534,
ADMR,Open_Low,4,85,1089.3826904296875,27.787025451660156,0.019376732878211497,28.44775390625,
ADMR,Open_Low,5,16,6607.94482421875,64.90473937988281,0.687355258776635,582.6028997247869,
ADMR,Open_Volume,1,41,15429.44140625,109.0006103515625,0.24844188602870715,319.5804554332386,
ADMR,Open_Volume,2,41,8925.2822265625,81.73591613769531,0.0977283102413678,130.83057195490056,
ADMR,Open_Volume,3,28,2103.372802734375,38.492515563964844,0.09497832972592651,126.93935879794034,
ADMR,Open_Volume,4,56,1082.4356689453125,27.722068786621094,0.01937919049366264,28.393060857599433,
ADMR,Open_Volume,5,16,6498.23486328125,63.941261291503906,0.694377397008458,588.5896883877841,
ADMR,High_Low,1,45,18052.9453125,117.67587280273438,0.24898981990331415,320.29294655539775,
ADMR,High_Low,2,39,7680.12060546875,73.81398010253906,0.09898868011798845,132.5676602450284,
ADMR,High_Low,3,30,2416.22412109375,35.740177154541016,0.0971876566626606,129.91132701526988,
ADMR,High_Low,4,73,1068.6739501953125,27.874839782714844,0.019371865923352403,28.414228959517047,
ADMR,High_Low,5,14,6232.46044921875,58.53466796875,0.6987478223742184,592.3055253462358,
ADMR,High_Volume,1,42,16525.892578125,113.0672378540039,0.25069075226176757,322.4895518909801,
ADMR,High_Volume,2,38,7702.849609375,76.52759552001953,0.10106053505727684,135.40662730823863,
ADMR,High_Volume,3,28,4113.10595703125,54.275081634521484,0.09633811270154288,128.7749911221591,
ADMR,High_Volume,4,61,1084.8533935546875,27.827348709106445,0.019372367390166165,28.420754172585227,
ADMR,High_Volume,5,15,6872.25341796875,66.57421875,0.6920118953176183,586.5424971147017,
ADMR,Low_Volume,1,39,14944.3720703125,104.79849243164062,0.2523397037279689,324.69052956321025,
ADMR,Low_Volume,2,40,8722.1884765625,81.23223114013672,0.09874199492994618,132.2166082208807,
ADMR,Low_Volume,3,30,3682.939208984375,48.7112922668457,0.09241703909912248,123.48553466796875,
ADMR,Low_Volume,4,75,1087.873291015625,27.951549530029297,0.01984529841952855,29.044389204545453,
ADMR,Low_Volume,5,15,6496.8330078125,64.0685806274414,0.6955173892120302,589.5451771129261,
ADMR,Open_High_Low,1,43,14932.0927734375,102.9658203125,0.2513172572996291,323.34997003728694,
ADMR,Open_High_Low,2,40,10078.2509765625,89.9561767578125,0.10117707761320877,135.57377485795453,
ADMR,Open_High_Low,3,28,2855.28369140625,41.33742904663086,0.09552579030348776,127.67603093927556,
ADMR,Open_High_Low,4,96,1078.09912109375,27.781578063964844,0.0199746884859553,29.194896351207387,
ADMR,Open_High_Low,5,14,9881.271484375,79.23326873779297,0.6871639627656747,582.3986760919744,
ADMR,Open_High_Volume,1,40,18462.283203125,114.05944061279297,0.25618345080151633,329.78881281072444,
ADMR,Open_High_Volume,2,40,8344.12109375,82.52086639404297,0.10066741439224201,134.87059437144887,
ADMR,Open_High_Volume,3,31,2053.173583984375,39.04241943359375,0.09377282818250711,125.3103193803267,
ADMR,Open_High_Volume,4,91,1089.32861328125,28.018693923950195,0.018510962519781095,27.29751309481534,
ADMR,Open_High_Volume,5,15,5778.4140625,67.24427032470703,0.6912532401238152,585.9247214577415,
ADMR,High_Low_Volume,1,41,14007.4150390625,101.58789825439453,0.24949272955737262,320.9808627041903,
ADMR,High_Low_Volume,2,36,8297.125,78.01420593261719,0.10167339878305293,136.2561700994318,
ADMR,High_Low_Volume,3,30,2990.4921875,46.1755256652832,0.09314175456200813,124.46250221946023,
ADMR,High_Low_Volume,4,76,1079.2882080078125,27.621788024902344,0.01972578878830324,28.838007146661933,
ADMR,High_Low_Volume,5,15,8656.95703125,64.96908569335938,0.6877997251126,582.9535411487926,
ADMR,OHLVC,1,41,13128.5126953125,96.4970932006836,0.2527824020615055,325.3052035245028,
ADMR,OHLVC,2,39,7352.89794921875,74.75183868408203,0.1010723624792913,135.42756236683238,
ADMR,OHLVC,3,31,3140.625,42.68521499633789,0.09325566626788007,124.61616654829545,
ADMR,OHLVC,4,72,1082.9815673828125,27.896690368652344,0.018865186054496854,27.8314208984375,
ADMR,OHLVC,5,15,5996.89794921875,65.1167221069336,0.6941717333602491,588.4085637872869,
ADMR,OHLVC_MA,1,41,12151.1708984375,95.43750762939453,0.24831380900329095,319.373740456321,
