Ticker,Fitur,Fold,Best_Epoch,Val_Loss,Val_MAE,Val_MAPE,Val_RMSE,Val_R2,,
ADRO,Open_High_Volume,4,89,8100.790527,68.66147614,0.083577221,130.6526982,-0.564207164,,
ADRO,Open_High_Volume,5,92,203755.7656,410.6915894,0.186663511,460.9468724,-2.624383947,,
ADRO,High_Low_Volume,1,98,1310.629028,26.23359489,0.056938526,35.28588041,0.635112623,,
ADRO,High_Low_Volume,2,98,9345.702148,61.55226517,0.09937613,106.5036958,0.470987802,,
ADRO,High_Low_Volume,3,97,466848.2813,659.6845703,0.404140279,684.5441906,-13.38784588,,
ADRO,High_Low_Volume,4,78,7282.717773,63.20732117,0.115362852,173.8972252,-1.763842863,,
ADRO,High_Low_Volume,5,93,211613.7813,421.3363647,0.185208794,463.6241415,-2.662706305,,
ADRO,OHLVC,1,87,1302.597656,26.79706955,0.068740316,37.81423449,0.599788098,,
ADRO,OHLVC,2,90,9681.563477,62.4585495,0.0918268,100.609134,0.526629822,,
ADRO,OHLVC,3,100,507478.3125,689.1880493,0.421917814,712.3701466,-14.58030143,,
ADRO,OHLVC,4,92,7941.455566,69.57682037,0.065487147,107.2447687,-0.064496734,,
ADRO,OHLVC,5,99,210419.1094,414.7445068,0.181170721,458.830879,-2.580879446,,
ADRO,OHLVC_MA,1,61,1278.726318,25.53298187,0.064942304,40.32273366,0.54317978,,
ADRO,OHLVC_MA,2,82,10026.02246,63.35383224,0.095274512,105.5757364,0.47798852,,
ADRO,OHLVC_MA,3,97,456856.375,650.8562012,0.410305775,696.6038669,-13.8980286,,
ADRO,OHLVC_MA,4,56,7652.505859,65.26669312,0.109419004,167.9255822,-1.59068138,,
ADRO,OHLVC_MA,5,97,229353.2031,435.8245544,0.187487123,482.2466849,-2.95162579,,
ADRO,OHLVC_EMA,1,50,1315.016602,27.08960533,0.068729865,38.18416633,0.597791442,,
ADRO,OHLVC_EMA,2,90,10112.34766,64.37300873,0.093661327,102.2041424,0.509785191,,
ADRO,OHLVC_EMA,3,97,464143.125,657.2139893,0.405174519,687.0220588,-13.49136988,,
ADRO,OHLVC_EMA,4,49,8141.036133,68.10429382,0.126119579,187.2670718,-2.200247616,,
ADRO,OHLVC_EMA,5,99,214969.3438,422.2261047,0.183154956,467.4652634,-2.717985377,,
ADRO,OHLVC_RSI,1,97,1394.942505,26.64333153,0.075804419,40.82355548,0.539297597,,
