Ticker,Weight,Allocation_Rp,Predicted_Return,Realized_Return,Expected_Profit_Rp,Realized_Profit_Rp
ADRO,0.3345774144277762,33457741.442777622,0.0008192740540593491,-0.13838120104438645,27411.059471493918,-4629922.445084111
ACES,0.33455574724484927,33455574.724484928,0.0008062737449738844,-0.3155555555555556,26974.351523364094,-10557092.468615245
ADMR,0.3308668383273745,33086683.83273745,-0.0014070714913327897,-0.08139534883720934,-46555.329563786385,-2693102.172432119
